endpoint,total_rows,mean_train_rows,clf_r1,retr_r1,clf_r3,retr_r3,n_seeds
/agent4/tempin4,6414,4810.0,0.9999,1.0,1.0,1.0,5
/agent3/tempin3,6416,4812.0,1.0,1.0,1.0,1.0,5
/agent11/tempin11,6512,4884.0,1.0,1.0,1.0,1.0,5
/agent12/battery6/charging,6540,4905.0,0.0,0.0,0.6105,1.0,5
/agent2/tempin2,6550,4912.0,0.9999,1.0,1.0,1.0,5
/agent1/tempin1,6551,4913.0,0.9803,0.9803,1.0,1.0,5
/agent28/tempin28,6552,4914.0,1.0,1.0,1.0,1.0,5
/agent5/battery2/charging,6649,4987.0,0.0134,0.0728,0.7907,1.0,5
/agent12/battery5/charging,6748,5061.0,0.0,0.0,0.3887,0.937,5
/agent5/battery1/charging,6784,5088.0,0.0,0.0,0.2117,1.0,5
/agent12/movement12/movement,7124,5343.0,0.9992,1.0,1.0,1.0,5
/agent6/tempin6,8407,6305.0,0.9999,1.0,1.0,1.0,5
/agent11/battery4/charging,8611,6458.0,0.0,1.0,1.0,1.0,5
/agent12/battery6/charge,16460,12345.0,0.5016,0.7518,1.0,1.0,5
/agent5/battery2/charge,16494,12370.0,0.4479,0.0001,1.0,0.0001,5
/agent5/battery1/charge,16526,12394.0,0.5517,0.7549,1.0,1.0,5
/agent12/battery5/charge,16531,12398.0,0.4981,0.2469,1.0,0.2469,5
/agent11/battery4/charge,19032,14274.0,1.0,0.0002,1.0,1.0,5
